written_by,writes
2314339507,0e6f86b63bf06fae17f8fab2c3cedcce2d4eadeb
2366647032,0e6f86b63bf06fae17f8fab2c3cedcce2d4eadeb
46767997,0e6f86b63bf06fae17f8fab2c3cedcce2d4eadeb
2376331364,0e6f86b63bf06fae17f8fab2c3cedcce2d4eadeb
2363564589,0e6f86b63bf06fae17f8fab2c3cedcce2d4eadeb
2115537671,e767adbdde175562067003f2e517f064be5d4df4
2376395390,e767adbdde175562067003f2e517f064be5d4df4
2409856580,e767adbdde175562067003f2e517f064be5d4df4
30518075,e767adbdde175562067003f2e517f064be5d4df4
1793506,e767adbdde175562067003f2e517f064be5d4df4
2376364857,e767adbdde175562067003f2e517f064be5d4df4
2056784844,7cea5d3b925ac0a4430d5beb98abdcf0098698e3
2275387192,7cea5d3b925ac0a4430d5beb98abdcf0098698e3
2115785,7cea5d3b925ac0a4430d5beb98abdcf0098698e3
2370293794,7cea5d3b925ac0a4430d5beb98abdcf0098698e3
31328150,7cea5d3b925ac0a4430d5beb98abdcf0098698e3
2237201077,7cea5d3b925ac0a4430d5beb98abdcf0098698e3
46316984,096d79a02f783809972405c04a0b3d30b45b6287
2372703070,096d79a02f783809972405c04a0b3d30b45b6287
2372247895,096d79a02f783809972405c04a0b3d30b45b6287
2391369088,096d79a02f783809972405c04a0b3d30b45b6287
39227408,096d79a02f783809972405c04a0b3d30b45b6287
2322845849,096d79a02f783809972405c04a0b3d30b45b6287
2346315340,096d79a02f783809972405c04a0b3d30b45b6287
2288062145,096d79a02f783809972405c04a0b3d30b45b6287
2286477038,096d79a02f783809972405c04a0b3d30b45b6287
2087047386,096d79a02f783809972405c04a0b3d30b45b6287
2343480293,096d79a02f783809972405c04a0b3d30b45b6287
83584001,096d79a02f783809972405c04a0b3d30b45b6287
2284051144,096d79a02f783809972405c04a0b3d30b45b6287
2309295174,096d79a02f783809972405c04a0b3d30b45b6287
2267020413,096d79a02f783809972405c04a0b3d30b45b6287
2264251662,096d79a02f783809972405c04a0b3d30b45b6287
2372536250,096d79a02f783809972405c04a0b3d30b45b6287
2266838179,096d79a02f783809972405c04a0b3d30b45b6287
2300178079,6ea3fffea0eb682720f38c5eb8b996393e030df2
2368130303,6ea3fffea0eb682720f38c5eb8b996393e030df2
2367795620,6ea3fffea0eb682720f38c5eb8b996393e030df2
115028766,6ea3fffea0eb682720f38c5eb8b996393e030df2
