venue
North American Chapter of the Association for Computational Linguistics
Frontiers Virtual Real.
Current Psychology
arXiv.org
Volume 1
BigData Congress [Services Society]
Scientific Data
Proceedings of the Third Workshop for Artificial Intelligence for Scientific Publications
International Symposium on Telecommunications
International Conference on Theory and Practice of Digital Libraries
JMIR AI
Data Intelligence
IJCNLP-AACL
IEEE Transactions on Visualization and Computer Graphics
Social Network Analysis and Mining
"Conference on Fairness, Accountability and Transparency"
Frontiers in Public Health
Annual Meeting of the Association for Computational Linguistics
Scientific Reports
Advances in Science and Humanities
2025 11th International Conference on Web Research (ICWR)
Informatics
Conservation Biology
Applied Informatics
International Conference on Conceptual Structures
Information Processing & Management
International Journal of Disaster Risk Reduction
Publ.
2024 IEEE/WIC International Conference on Web Intelligence and Intelligent Agent Technology (WI-IAT)
Bioinformatics Advances
Knowledge Discovery and Data Mining
Proceedings B
Conference on Empirical Methods in Natural Language Processing
Neural Information Processing Systems
Journal of Vision
ACM Trans. Interact. Intell. Syst.
ACM Transactions on Intelligent Systems and Technology
Neural Networks
NAACL-HLT
The R Journal
Scientific Reports
Briefings Bioinform.
arXiv.org
BMC Bioinformatics
ZFW – Advances in Economic Geography
CONCEPTS
Annual Meeting of the Association for Computational Linguistics
Trans. Mach. Learn. Res.
International Symposium on INnovations in Intelligent SysTems and Applications
Journal of universal computer science (Online)
ACM Transactions on Internet Technology
Knowledge
IEEE Open Journal of the Communications Society
International Journal on Digital Libraries
ACM Computing Surveys
Artif. Intell. Medicine
Technovation
ICIEAI
International Journal of Artificial Intelligence in Education
npj Climate Action
ACM Multimedia
2023 11th International Conference on Cyber and IT Service Management (CITSM)
ACM Transactions on Knowledge Discovery from Data
ACM Symposium on User Interface Software and Technology
Artificial Intelligence &amp; Applications
Conference on Empirical Methods in Natural Language Processing
International Conference on Information and Knowledge Management
Database J. Biol. Databases Curation
Scientometrics
International Conference on Theory and Practice of Digital Libraries
Global Communications Conference
Nature Communications
International Journal for Research in Applied Science and Engineering Technology
Computational Geosciences
International Symposium on Empirical Software Engineering and Measurement
BIR@ECIR
Knowledge Discovery and Data Mining
bioRxiv
Scientific Data
"IEEE International Conference on Acoustics, Speech, and Signal Processing"
Nature Human Behaviour
World Patent Information
Knowledge-Based Systems
Conference on Empirical Methods in Natural Language Processing
International Conference on Information and Knowledge Management
Journal of Biomedical Informatics
IEEE International Conference on Document Analysis and Recognition
Data Intelligence
ACM/IEEE Joint Conference on Digital Libraries
arXiv.org
PLoS ONE
iConference
Italian National Conference on Sensors
IEEE Access
The Web Conference
IEEE Journal on Selected Areas in Communications
IEEE Transactions on Knowledge and Data Engineering
PatentSemTech@SIGIR
Nature Machine Intelligence
2022 25th International Conference on Computer and Information Technology (ICCIT)
2022 IEEE International Conference on Big Data (Big Data)
British Journal of Educational Technology
J. Assoc. Inf. Sci. Technol.
Quantitative Science Studies
Complex & Intelligent Systems
2022 IEEE/WIC/ACM International Joint Conference on Web Intelligence and Intelligent Agent Technology (WI-IAT)
2022 IEEE Globecom Workshops (GC Wkshps)
International Conference on Asian Digital Libraries
International ACM SIGACCESS Conference on Computers and Accessibility
PeerJ Computer Science
bioRxiv
Environmental Evidence
2022 International Conference on Connected Systems & Intelligence (CSI)
EUROMICRO Conference on Software Engineering and Advanced Applications
EPJ Data Science
Academic Questions
Annual International ACM SIGIR Conference on Research and Development in Information Retrieval
arXiv.org
Proceedings of the VLDB Endowment
Earth's Future
Expert systems with applications
International Joint Conference on Artificial Intelligence
IEEE Transactions on Neural Networks and Learning Systems
Scientometrics
Frontiers in Ecology and Evolution
Journal of Data Mining and Digital Humanities
Conference on Empirical Methods in Natural Language Processing
Knowledge
ACM/IEEE Joint Conference on Digital Libraries
International Conference on Intelligent User Interfaces
J. Informetrics
North American Chapter of the Association for Computational Linguistics
The Web Conference
bioRxiv
Workshop on Biomedical Natural Language Processing
PLoS ONE
2021 IEEE International Conference on Big Data (Big Data)
Journal of Medical Internet Research
Information Retrieval Journal
International Journal of Digital Humanities
2021 International Conference on Data Mining Workshops (ICDMW)
Global Communications Conference
International Conference on Knowledge Capture
Journal of Biomedical Informatics
International Journal on Digital Libraries
Quantitative Science Studies
Annual International Conference of the IEEE Engineering in Medicine and Biology Society
ECML/PKDD
BMC Bioinformatics
International ACM SIGACCESS Conference on Computers and Accessibility
International Conference on Language Resources and Evaluation
Annual Meeting of the Association for Computational Linguistics
Scientometrics
npj Computational Materials
Italian National Conference on Sensors
arXiv.org
BMC Bioinformatics
International Symposium on Intelligent Data Analysis
International Conference on Asian Digital Libraries
Future Internet
IEEE International Joint Conference on Neural Network
SDU@AAAI
"Conference on Fairness, Accountability and Transparency"
ACM/IEEE Joint Conference on Digital Libraries
Findings
Transactions of the Association for Computational Linguistics
North American Chapter of the Association for Computational Linguistics
Neurocomputing
SDP
International Conference on Web and Social Media
Proceedings of the Fifteenth Workshop on Graph-Based Methods for Natural Language Processing (TextGraphs-15)
Future generations computer systems
International Conference on Intelligent User Interfaces
CINLP
Conference on Empirical Methods in Natural Language Processing
Trans. Data Sci.
CHI Extended Abstracts
Knowledge Discovery and Data Mining
Conference of the European Chapter of the Association for Computational Linguistics
International Journal on Digital Libraries
International Conference on Machine Learning
European Conference on Information Retrieval
Knowledge and Information Systems
IET Software
Database J. Biol. Databases Curation
BIR@ECIR
Advances in Intelligent Systems and Computing
SDU@AAAI
"IEEE International Conference on Software Quality, Reliability and Security Companion"
