authorId,name
2289107754,Bronwen Hunter
2132547664,Daan Scheepens
2289109059,Anna Willoughby
2289109326,Andrew Yates
3383502,N. Mideo
49891156,Yu Zhang
29963551,Xiusi Chen
2057050247,Bowen Jin
2307033488,Sheng Wang
2279225650,Shuiwang Ji
2283212563,Wei Wang
2257136881,Jiawei Han
2304164966,Zhuofeng Li
2313157472,Zixing Gou
2307206343,Xiangnan Zhang
2303435116,Zhongyuan Liu
2275541506,Sirui Li
2257349205,Yuntong Hu
2284591355,Chen Ling
2021011947,Zhengwu Zhang
2257314969,Liang Zhao
2305357713,Hongjiang Lv
2068561924,Zhi-bin Niu
2304889243,Wei Han
2280943921,Xiang Li
27083453,Raymond Fok
3328733,Luca Soldaini
2212791328,Cassidy Trier
2203427167,Erin Bransom
2071601396,Kelsey MacMillan
2087062598,Evie (Yu-Yen) Cheng
2196559465,Hita Kambhamettu
2295464506,Jonathan Bragg
46258841,Kyle Lo
2253199135,Marti A. Hearst
2260650470,Andrew Head
1780531,Daniel S. Weld
1928141171,Mandar Sharma
2354410081,A. Gogineni
2258821789,Naren Ramakrishnan
47971141,Yi Yan
1691686,E. Kuruoglu
2066962303,Juraj Vladika
2243005966,Florian Matthes
2248919040,M. Aria
2396674349,Trang Le
32187939,C. Cuccurullo
2165722548,Alessandra Belfiore
2299054206,June Choe
1753416672,Hind Alamro
2268847175,Takashi Gojobori
46883364,M. Essack
2109103060,Xin Gao
47451980,Ming-Siang Huang
31763053,Jen-Chieh Han
1781286404,Pei-Yen Lin
2054452310,Yu-Ting You
2285630764,Richard Tzong-Han Tsai
2238570161,Wen-Lian Hsu
2266767058,Zhenyuan Lu
2157337597,Wei Li
48147088,Burcu Ozek
2284112591,Haozhou Zhou
15897220,S. Radhakrishnan
1941507,S. Kamarthi
2293312099,Zhenyu Bi
2293313831,Sajib Acharjee Dip
2264478325,Daniel Hajialigol
2293314240,Sindhura Kommu
2265063862,Hanwen Liu
2293550345,Meng Lu
2263943236,Xuan Wang
2051750606,Ornella Irrera
39960971,Stefano Marchesin
1508853659,Gianmaria Silvello
2085072010,Hendrik Hansmeier
2290769807,Henning Kroll
150148479,Johannes Hirth
3439180,Tom Hanika
2048053804,Guangzhi Xiong
2261406713,Qiao Jin
2237094367,Zhiyong Lu
2265729351,Aidong Zhang
1572164529,Steven Jecmen
2325881690,Nihar B. Shah
2356417217,Fei Fang
3255268,L. Akoglu
2267861843,Jinghong Li
2283133021,Huy Phan
2191728751,Wen Gu
2000912578,Koichi Ota
2267751251,Shinobu Hasegawa
2179569486,Bashar Alshouha
1401773209,J. Serrano-Guerrero
2192534791,David A. Elizondo
2262493920,Francisco P. Romero
1708929,J. Olivas
90187611,Siva Sai
3185174,V. Chamola
2254258923,Jennifer D’Souza
2280333448,Nazmul Islam
40858979,Seokjoo Shin
2278700433,Komal Gupta
2148269079,Ammaar Ahmad
13427974,Tirthankar Ghosal
2240213656,Asif Ekbal
2225092617,Yunkun Zhang
2175310417,Jin Gao
2278471697,Zheling Tan
2278404548,Lingfeng Zhou
2128911389,Kexin Ding
2179089074,Mu Zhou
2278618280,Shaoting Zhang
2278379365,Dequan Wang
3221527,Zeynep Hilal Kilimci
2260336586,M. Yalcin
2223034633,Julian Just
2250873973,Rong Xu
2304146203,Jiaxing Chen
2275215754,Keith Cochran
2178395648,Clayton Cohn
2357432879,Peter Hastings
2275468132,Noriko Tomuro
151450367,S. Hughes
2046154473,A. J. De-Gol
2240169793,C. Le Quéré
2109353169,Adam J. P. Smith
2214765094,Marianne Aubin Le Quéré
120897486,Anwen Hu
37198550,Yaya Shi
153194420,Haiyang Xu
2153258288,Jiabo Ye
2199011713,Qinghao Ye
2114009661,Mingshi Yan
143971529,Chenliang Li
2256987633,Qi Qian
2116921824,Ji Zhang
2262080010,Fei Huang
2074346318,Nur Inayah
70985093,Muhaza Liebenlito
2267407251,Nina Fitriyati
2089465406,Muhammad Manaqib
2290293855,Nabila Aryanti
2265945051,Hongjian Zhou
2265754434,Boyang Gu
2265783554,Xinyu Zou
2000011573,Jinfa Huang
2265924823,Yiru Li
2265803524,Sam S. Chen
1800462890,Peilin Zhou
2218869839,Junling Liu
2147311343,Y. Hua
2265754569,Chengfeng Mao
2269413539,Xian Wu
2266043640,Zheng Li
2218961178,Fenglin Liu
2145028549,Tengfei Liu
2371027,Yongli Hu
2261897593,Junbin Gao
5305357,Yanfeng Sun
2239088112,Baocai Yin
2260651136,Jeffrey Heer
40963003,Matthew Conlen
2260653039,Vishal Devireddy
2157789562,T. Nguyen
1578154573,Josh Horowitz
2064476217,Gustavo Bartz Guedes
2239493888,Ana Cristina Araujo Lemos Da Silva
2188058199,Tomas Goldsack
2212059523,Zhihao Zhang
2261452385,Chen Tang
2064492081,Carolina Scarton
2244126309,Chenghua Lin
2116458151,Zexue He
2153604285,Yu Wang
2254201486,An Yan
2261358086,Yao Liu
2261287163,Eric Y. Chang
2250624868,Amilcare Gentili
2254271546,Julian J. McAuley
2257436141,Chun-Nan Hsu
2260653336,Hong-Jin Tsai
26958446,An-Zi Yen
152354730,Hen-Hsen Huang
2237850759,Hsin-Hsi Chen
2299332766,Raymond Fok
2267001904,J. Chang
50509991,Tal August
144518215,Amy X. Zhang
1780531,Daniel S. Weld
39960971,Stefano Marchesin
2239486285,Laura Menotti
103216433,Fabio Giachelle
1688094,G. Silvello
2239520675,Omar Alonso
2243382693,Chao Yu
2243223850,Chuhan Wang
2146325969,Tongyang Zhang
2242657013,Yi Bu
49394985,Jian Xu
2387766795,Sijia Fang
91122766,K. Rohe
1379516545,Louise Bloch
1382580287,Johannes Ruckert
2955567,C. Friedrich
50320098,Wojciech Kusa
2237802588,Petr Knoth
1699657,A. Hanbury
2239176146,Qiyang Zhao
2180261014,Han Zou
1702172,M. Bennis
2065834880,M. Debbah
1967677,Ebtesam Almazrouei
2236687641,Faouzi Bader
2109496533,Xingyu Meng
97966143,Amisha Srivastava
2047943081,Ayush Arunachalam
33293832,Avik Ray
2232953063,P. Silva
21037958,Rafail Psiakis
1743038,Y. Makris
2938259,K. Basu
80753146,G. Bona
102605562,A. Bellina
1400895082,G. D. Marzo
2162837496,A. Petralia
22186618,Iacopo Iacopini
1795135,V. Latora
2222525872,Saurabh Pahune
2223291433,Manoj Chandrasekharan
2109272783,Qizhi Chen
2112202452,Hong Yao
2223865921,Diange Zhou
1390908242,Shengwen Li
152339906,Lijun Dong
1969899,Oliver Karras
2220832255,Felix Wernlein
2174734722,Jil Klunder
145044578,S. Auer
2199326150,Veronika Ivanova
2132068332,Oleg Lashinin
2065854229,Marina Ananyeva
145374794,Sergey Kolesnikov
49891156,Yu Zhang
2057050247,Bowen Jin
29963551,Xiusi Chen
2203364310,Yanzhen Shen
48379289,Yunyi Zhang
145391513,Yu Meng
2111759643,Jiawei Han
2145320451,Meiqi Wang
2220758263,Avish Vijayaraghavan
144866362,Tim Beck
3081379,J. Posma
1848764,Petr Knoth
1839605,Drahomira Herrmannova
2066327521,Matteo Cancellieri
2300458,Lucas Anastasiou
2081444,Nancy Pontika
2638873,Samuel Pearce
2942586,B. Gyawali
2064119650,David Pride
2040416515,Maosheng Yang
51013185,Bishwadeep Das
1815210,E. Isufi
2313086,J. Sourati
144002439,James A. Evans
2213777304,Konrad Vowinckel
1722997,Volker Hähnke
2127599599,Simone Scaboro
1805998814,Beatrice Portelli
3433809,Emmanuele Chersoni
150991377,Enrico Santus
2163190285,Giuseppe Serra
49891156,Yu Zhang
47413820,Hao Cheng
123188251,Zhihong Shen
46522098,Xiaodong Liu
2115740680,Yejiang Wang
48441311,Jianfeng Gao
2111747266,F. González
2111472502,Zhijing Jin
2190982849,Jade Beydoun
1707625,B. Scholkopf
2041698667,Tom Hope
2790926,Mrinmaya Sachan
2105984203,Rada Mihalcea
150091866,E. Lee
152316651,Joyce Ho
145242558,T. Lai
143869012,Chengxiang Zhai
2072975661,Heng Ji
153451419,M. Turski
2106450032,Tomasz Stanislawek
145104037,Karol Kaczmarek
2215774519,Pawel Dyda
2064873282,Filip Grali'nski
2189130850,Jie Li
151486833,Gaihong Yu
50317066,Zhixiong Zhang
46351484,Christin Katharina Kreutz
2165313022,Martin Blum
34588911,Philipp Schaer
1727566,R. Schenkel
2638784,B. Weyers
77790220,H. Kroll
46351484,Christin Katharina Kreutz
2214580618,Pascal Sackhoff
1720266,Wolf-Tilo Balke
35668704,Hasin Rehana
2214609905,Nur Bengisu Çam
2180883959,Mert Basmaci
1679167,Y. He
1702629,Arzucan Özgür
1747690,J. Hur
2109208555,Jenna Kim
2110005332,Jinmo Kim
2115972785,Aejin Lee
47964260,Jinseok Kim
47995159,Hui-Rong Xu
151192140,Redoan Rahman
2141351739,A. Jaiswal
2053708764,Julia Fensel
2210796518,Abhinav Peri
1382324502,Katya Peri
144135987,G. Weber
2116500622,Ying Ding
1643995043,S. Seong
2007875,Jeongwon Cha
66695795,Tohida Rehman
11575056,Debarshi Kumar Sanyal
1379534518,S. Chattopadhyay
34934281,Plaban Kumar Bhowmick
2153318545,P. Das
49891156,Yu Zhang
2057050247,Bowen Jin
2152206948,Qi Zhu
145391513,Yu Meng
2111759643,Jiawei Han
2040416515,Maosheng Yang
1815210,E. Isufi
2155029411,Zhaohui Yang
2292143998,Mingzhe Chen
2156123228,Zhaoyang Zhang
30745651,Chongwen Huang
2075292864,Da Yin
1403621152,W. Tam
2055623340,Ming Ding
2109541439,Jie Tang
21708612,Sebastian Erhardt
2065507698,Mainak Ghosh
2199116561,Erik Buunk
2061589845,Michael E. Rose
1697838,D. Harhoff
1381444447,Emmy Liu
2115684149,Yang Xu
1563693999,Shengchao Liu
2066304514,Weili Nie
2281830814,Chengpeng Wang
2121696601,Jiarui Lu
88820329,Zhuoran Qiao
2146021664,Ling Liu
2115855484,Jian Tang
2723309,Chaowei Xiao
2047844,Anima Anandkumar
144776556,M. Usha
2210520361,Afia Mukarrama Smrity
3196572,Sunanda Das
2123076219,Gjorgjina Cenikj
73349536,G. Petelin
98356713,B. Korousic-Seljak
35604507,T. Eftimov
2094291242,Judith Stanja
2133450085,Wolfgang Gritz
1974715,Johannes Krugel
2288008,Anett Hoppe
2192135330,Sarah Dannemann
153410529,Alastair R. Rae
40536802,James G. Mork
1398175407,Dina Demner-Fushman
2109825013,Jinqing Yang
2153424616,Wei Lu
2145587478,Yong Huang
2283732,Qikai Cheng
48571183,Li Zhang
2149206180,Shengzhi Huang
2190038398,Philipp Sauer
9537652,Janek Bevendorff
2124424844,Lukas Gienapp
2120814205,Wolfgang Kircheis
2190038260,Erik Korner
1405867539,Benno Stein
3046200,Martin Potthast
2088584905,Kaile Shi
50320934,Xiaoyan Cai
49576312,Libin Yang
2109858731,Jintao Zhao
120427046,Dou Hu
2112801129,Xiaolong Hou
