query_id,mrr5,recall5,recall10
1,1.0,0.16666666666666666,0.2777777777777778
2,1.0,0.2631578947368421,0.47368421052631576
3,0.5,0.17647058823529413,0.23529411764705882
4,1.0,0.17647058823529413,0.29411764705882354
5,1.0,0.21052631578947367,0.3684210526315789
6,1.0,0.15,0.2
7,1.0,0.21428571428571427,0.2857142857142857
8,1.0,0.25,0.4166666666666667
9,1.0,0.14285714285714285,0.14285714285714285
10,1.0,0.3076923076923077,0.38461538461538464
avg,0.95,0.2058,0.3079
