vec_n,graph_k,avg_pool,avg_MRR@5,avg_Recall@5,avg_time_s
5,200,410.8,0.9,0.1947,3.65
10,175,460.2,0.8833,0.1938,6.26
15,150,499.0,0.8833,0.2103,7.32
20,100,467.4,0.9333,0.2085,9.13
30,75,486.1,0.925,0.2039,8.94
50,50,496.2,0.925,0.232,17.28
75,37,514.3,0.875,0.2431,25.08
100,25,510.1,0.8583,0.2331,28.27
125,18,514.9,0.8833,0.2504,25.8
150,12,488.1,0.8833,0.2471,24.43
175,9,485.9,0.85,0.256,22.74
200,9,532.0,0.85,0.256,16.88
250,5,487.0,0.9,0.2576,5.87
