vec,graph_k,avg_pool,total_relevant,rel_vector,rel_cites,rel_coauthor,rel_venue,rel_field,pool_vector,pool_cites,pool_coauthor,pool_venue,pool_field
100,5,237.9,65,45,9,6,5,0,1000,749,205,367,58
80,10,281.0,70,39,19,5,7,0,800,1155,256,470,129
60,15,290.6,77,32,26,6,13,0,600,1367,218,543,178
40,25,313.2,76,26,30,7,13,0,400,1648,225,587,272
20,50,336.5,66,15,33,6,10,2,200,1985,128,590,462
10,75,296.6,53,8,28,4,10,3,100,1737,57,544,528
5,100,263.1,42,4,25,1,9,3,50,1570,19,399,593
