vec,graph_k,budget,avg_pool,total_relevant,rel_vector,rel_cites,rel_coauthor,rel_venue,rel_field,pool_vector,pool_cites,pool_coauthor,pool_venue,pool_field
200,4,1000,371.9,91,70,12,5,4,0,2000,926,335,387,71
150,6,1050,354.4,86,62,13,5,6,0,1500,1087,353,514,90
100,9,1000,313.5,73,45,20,2,6,0,1000,1240,252,532,111
80,12,1040,308.8,75,39,23,5,8,0,800,1334,249,546,159
60,16,1020,302.3,77,32,26,6,13,0,600,1449,218,563,193
40,24,1000,305.5,74,26,29,7,12,0,400,1598,216,576,265
20,49,1000,331.4,66,15,33,6,10,2,200,1955,129,581,449
10,99,1000,357.1,57,8,30,4,12,3,100,2124,48,614,685
5,199,1000,446.5,79,4,47,1,17,10,50,2724,12,548,1131
